labeler,column,start_date,start_time,end_date,end_time,eat,drink,sleep,chinrest,ride,stand,stand_near_fence,gone,Estrus_stage,Hours_til_estrus
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,0:00:00,4/7/2024,0:00:00,11108,3905,37816,47,0,28331,5192,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,6:00:00,4/7/2024,6:00:00,19853,2632,22177,7,0,24693,16648,0,non-estrus,66
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,6:00:00,4/7/2024,6:00:00,13937,3631,36891,0,0,20092,11428,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,6:00:00,4/7/2024,6:00:00,11234,4155,38463,0,0,27090,5068,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,12:00:00,4/7/2024,12:00:00,21089,2077,21452,218,0,21237,20270,0,non-estrus,60
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,12:00:00,4/7/2024,12:00:00,15594,3293,32954,2,0,15723,18769,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,12:00:00,4/7/2024,12:00:00,14770,6464,33178,0,0,22511,9420,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,18:00:00,4/7/2024,18:00:00,24100,3350,19581,218,0,22901,16235,0,non-estrus,54
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,18:00:00,4/7/2024,18:00:00,15266,4402,31168,2,0,15416,20131,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,18:00:00,4/7/2024,18:00:00,20198,5368,32854,67,0,18789,9109,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/7/2024,0:00:00,4/8/2024,0:00:00,23023,3122,32904,472,0,8605,18273,0,non-estrus,48
ARIS group 4,"cow-b
 (white-pattern)",4/7/2024,0:00:00,4/8/2024,0:00:00,16154,4364,33156,115,0,12587,20023,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/7/2024,0:00:00,4/8/2024,0:00:00,20974,5959,28306,67,0,20448,10645,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/7/2024,6:00:00,4/8/2024,6:00:00,23179,2802,22812,472,0,18040,18522,0,non-estrus,42
ARIS group 4,"cow-b
 (white-pattern)",4/7/2024,6:00:00,4/8/2024,6:00:00,16154,3523,27352,115,0,19941,18742,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/7/2024,6:00:00,4/8/2024,6:00:00,20854,5472,17187,67,0,31633,10614,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/7/2024,12:00:00,4/8/2024,12:00:00,21724,2633,22890,256,0,19000,19618,0,non-estrus,36
ARIS group 4,"cow-b
 (white-pattern)",4/7/2024,12:00:00,4/8/2024,12:00:00,13808,4156,26816,113,0,28351,12877,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/7/2024,12:00:00,4/8/2024,12:00:00,18201,3798,17356,67,0,40155,6544,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/7/2024,18:00:00,4/8/2024,18:00:00,15735,2487,24964,254,0,23491,18440,0,non-estrus,30
ARIS group 4,"cow-b
 (white-pattern)",4/7/2024,18:00:00,4/8/2024,18:00:00,6046,7351,28089,113,0,28903,14869,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/7/2024,18:00:00,4/8/2024,18:00:00,9453,4048,18259,0,0,43856,9755,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/8/2024,0:00:00,4/9/2024,0:00:00,21315,2140,18564,0,0,28786,14743,0,pre-estrus,24
ARIS group 4,"cow-b
 (white-pattern)",4/8/2024,0:00:00,4/9/2024,0:00:00,11863,8331,15328,0,0,37285,12741,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/8/2024,0:00:00,4/9/2024,0:00:00,17365,5056,8644,0,0,46485,7998,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/8/2024,6:00:00,4/9/2024,6:00:00,24331,2161,14449,0,7,31240,12969,0,pre-estrus,18
ARIS group 4,"cow-b
 (white-pattern)",4/8/2024,6:00:00,4/9/2024,6:00:00,12319,10971,10011,0,0,39232,12624,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/8/2024,6:00:00,4/9/2024,6:00:00,19886,4297,7646,0,0,45366,7955,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/8/2024,12:00:00,4/9/2024,12:00:00,23686,2104,14371,0,34,39579,4851,0,non-estrus,12
ARIS group 4,"cow-b
 (white-pattern)",4/8/2024,12:00:00,4/9/2024,12:00:00,13386,10259,9393,0,96,45081,6479,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/8/2024,12:00:00,4/9/2024,12:00:00,21406,4203,7477,0,0,46094,5534,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/8/2024,18:00:00,4/9/2024,18:00:00,24085,469,11598,0,34,45335,3951,0,non-estrus,6
ARIS group 4,"cow-b
 (white-pattern)",4/8/2024,18:00:00,4/9/2024,18:00:00,17471,4807,7251,0,96,53833,2083,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/8/2024,18:00:00,4/9/2024,18:00:00,24762,4469,4965,0,0,49671,1694,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/9/2024,0:00:00,4/10/2024,0:00:00,19035,158,14288,0,76,48795,3951,0,estrus,0
ARIS group 4,"cow-b
 (white-pattern)",4/9/2024,0:00:00,4/10/2024,0:00:00,10513,3035,14055,0,96,56548,2083,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/9/2024,0:00:00,4/10/2024,0:00:00,16808,2464,12292,0,0,53134,1694,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/9/2024,6:00:00,4/10/2024,6:00:00,16402,426,24454,7,81,40217,4534,0,estrus,0
ARIS group 4,"cow-b
 (white-pattern)",4/9/2024,6:00:00,4/10/2024,6:00:00,10058,291,13864,0,96,58072,3760,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/9/2024,6:00:00,4/10/2024,6:00:00,16707,3495,21454,0,0,41878,2678,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/9/2024,12:00:00,4/10/2024,12:00:00,13119,759,26587,16,54,36859,8713,0,estrus,0
ARIS group 4,"cow-b
 (white-pattern)",4/9/2024,12:00:00,4/10/2024,12:00:00,10219,769,19436,0,0,47195,8439,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/9/2024,12:00:00,4/10/2024,12:00:00,14457,3090,25649,0,0,35418,7488,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/9/2024,18:00:00,4/10/2024,18:00:00,15623,1152,26587,16,54,30420,12498,0,estrus,0
ARIS group 4,"cow-b
 (white-pattern)",4/9/2024,18:00:00,4/10/2024,18:00:00,13093,1164,18452,0,0,39269,14323,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/9/2024,18:00:00,4/10/2024,18:00:00,13726,2661,25587,0,0,32065,12306,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/10/2024,0:00:00,4/11/2024,23:59:59,14307,1219,34439,1068,12,22348,12597,0,non-estrus,0
ARIS group 4,"cow-b
 (white-pattern)",4/10/2024,0:00:00,4/11/2024,23:59:59,12765,1263,22196,0,0,35228,14531,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/10/2024,0:00:00,4/11/2024,23:59:59,12480,2661,28632,0,0,29301,12911,0,non-estrus,no data
ARIS group 5,"cow-a
(black)",30/9/2023,0:00:00,10/1/2023,0:00:00,20502,830,18239,900,0,33851,11868,0,non-estrus,120.44
ARIS group 5,"cow-b
(white-pattern)",30/9/2023,0:00:00,10/1/2023,0:00:00,14890,280,28670,487,0,36150,5713,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",30/9/2023,0:00:00,10/1/2023,0:00:00,20119,497,30837,0,0,30611,4126,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",30/9/2023,6:00:00,10/1/2023,6:00:00,19492,1919,19927,734,0,33413,10626,0,non-estrus,114.44
ARIS group 5,"cow-b
(white-pattern)",30/9/2023,6:00:00,10/1/2023,6:00:00,13985,985,30216,425,0,34561,5939,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",30/9/2023,6:00:00,10/1/2023,6:00:00,19928,672,29401,0,0,34255,1855,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",30/9/2023,12:00:00,10/1/2023,12:00:00,18876,2013,15709,734,0,33241,14379,0,non-estrus,108.44
ARIS group 5,"cow-b
(white-pattern)",30/9/2023,12:00:00,10/1/2023,12:00:00,13089,1013,29052,0,0,37587,4211,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",30/9/2023,12:00:00,10/1/2023,12:00:00,20129,695,23326,0,0,37285,3517,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",30/9/2023,18:00:00,10/1/2023,18:00:00,20115,4050,17856,734,0,32225,11377,0,non-estrus,102.44
ARIS group 5,"cow-b
(white-pattern)",30/9/2023,18:00:00,10/1/2023,18:00:00,12420,1583,28252,28,0,37166,6908,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",30/9/2023,18:00:00,10/1/2023,18:00:00,22483,3396,22204,0,0,33685,4589,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/1/2023,0:00:00,10/2/2023,0:00:00,18625,4194,17213,83,0,34292,11970,0,non-estrus,96.44
ARIS group 5,"cow-b
(white-pattern)",10/1/2023,0:00:00,10/2/2023,0:00:00,11216,1756,30890,28,0,35512,6975,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/1/2023,0:00:00,10/2/2023,0:00:00,21347,3118,20944,0,0,36153,4815,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/1/2023,6:00:00,10/2/2023,6:00:00,18724,3105,19354,83,0,32922,11148,0,non-estrus,90.44
ARIS group 5,"cow-b
(white-pattern)",10/1/2023,6:00:00,10/2/2023,6:00:00,11216,1316,31572,28,0,35516,5688,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/1/2023,6:00:00,10/2/2023,6:00:00,21119,2943,25171,0,0,30833,5270,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/1/2023,12:00:00,10/2/2023,12:00:00,18836,3085,23980,83,0,33032,6497,0,non-estrus,84.44
ARIS group 5,"cow-b
(white-pattern)",10/1/2023,12:00:00,10/2/2023,12:00:00,9522,1174,36746,28,0,32577,5466,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/1/2023,12:00:00,10/2/2023,12:00:00,19534,2920,29502,0,0,30726,2831,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/1/2023,18:00:00,10/2/2023,18:00:00,17960,2037,22989,83,0,32683,9893,0,non-estrus,78.44
ARIS group 5,"cow-b
(white-pattern)",10/1/2023,18:00:00,10/2/2023,18:00:00,11713,1587,34871,0,0,32402,5072,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/1/2023,18:00:00,10/2/2023,18:00:00,20786,1013,29502,0,0,32440,1904,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/2/2023,0:00:00,10/3/2023,0:00:00,17002,2327,25078,0,0,32467,9520,0,non-estrus,72.44
ARIS group 5,"cow-b
(white-pattern)",10/2/2023,0:00:00,10/3/2023,0:00:00,11519,2531,37037,0,0,31028,4279,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/2/2023,0:00:00,10/3/2023,0:00:00,18995,1013,35697,0,0,29079,1610,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/2/2023,6:00:00,10/3/2023,6:00:00,17063,2515,23053,0,0,33286,9864,0,non-estrus,66.44
ARIS group 5,"cow-b
(white-pattern)",10/2/2023,6:00:00,10/3/2023,6:00:00,11519,2518,39226,0,0,27977,4541,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/2/2023,6:00:00,10/3/2023,6:00:00,20497,1133,37440,0,0,24971,1740,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/2/2023,12:00:00,10/3/2023,12:00:00,12714,2544,19674,0,0,35129,10610,0,non-estrus,60.44
ARIS group 5,"cow-b
(white-pattern)",10/2/2023,12:00:00,10/3/2023,12:00:00,8914,2483,36450,0,0,28372,4452,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/2/2023,12:00:00,10/3/2023,12:00:00,17875,2159,36885,0,0,21701,2051,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/2/2023,18:00:00,10/3/2023,18:00:00,16987,2035,16973,0,0,35882,14377,0,non-estrus,54.44
ARIS group 5,"cow-b
(white-pattern)",10/2/2023,18:00:00,10/3/2023,18:00:00,10460,1406,41370,0,0,28371,4647,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/2/2023,18:00:00,10/3/2023,18:00:00,22410,2018,36885,0,0,21328,3613,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/3/2023,0:00:00,10/4/2023,0:00:00,15805,1832,19920,0,0,33746,15096,0,non-estrus,48.44
ARIS group 5,"cow-b
(white-pattern)",10/3/2023,0:00:00,10/4/2023,0:00:00,11204,949,41718,0,0,26985,5543,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/3/2023,0:00:00,10/4/2023,0:00:00,20572,2018,38456,0,0,21185,4168,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/3/2023,6:00:00,10/4/2023,6:00:00,16265,1965,22988,0,0,29299,15238,0,non-estrus,42.44
ARIS group 5,"cow-b
(white-pattern)",10/3/2023,6:00:00,10/4/2023,6:00:00,11774,878,47133,0,0,20045,5925,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/3/2023,6:00:00,10/4/2023,6:00:00,19070,1991,42477,0,0,17756,4461,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/3/2023,12:00:00,10/4/2023,12:00:00,14959,2161,21097,0,0,27291,19405,0,non-estrus,36.44
ARIS group 5,"cow-b
(white-pattern)",10/3/2023,12:00:00,10/4/2023,12:00:00,10017,931,46680,0,0,20988,6297,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/3/2023,12:00:00,10/4/2023,12:00:00,16921,1556,41890,0,0,16507,8039,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/3/2023,18:00:00,10/4/2023,18:00:00,19221,1546,21097,0,0,26001,18140,0,non-estrus,30.44
ARIS group 5,"cow-b
(white-pattern)",10/3/2023,18:00:00,10/4/2023,18:00:00,15743,1043,43510,0,0,18712,6997,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/3/2023,18:00:00,10/4/2023,18:00:00,21576,1796,41890,0,0,11380,9363,0,non-estrus,No data
ARIS group 5,"cow-a
(black)",10/4/2023,0:00:00,10/4/2023,23:59:59,20555,1249,13438,0,0,32748,18150,0,non-estrus,26.44
ARIS group 5,"cow-b
(white-pattern)",10/4/2023,0:00:00,10/4/2023,23:59:59,14951,1201,37858,0,0,24833,7297,0,non-estrus,No data
ARIS group 5,"cow-c
(black-pattern)",10/4/2023,0:00:00,10/4/2023,23:59:59,22991,1796,34970,0,0,16407,9976,0,non-estrus,No data
ARIS group 6,"cow-a
(black)",10/5/2023,0:00:00,10/6/2023,0:00:00,12739,1836,25623,19,0,34491,11691,0,non-estrus,24.44
ARIS group 6,"cow-b
(white-pattern)",10/5/2023,0:00:00,10/6/2023,0:00:00,10916,3915,35764,0,0,34275,1529,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/5/2023,0:00:00,10/6/2023,0:00:00,20463,2765,33449,21,0,29692,9,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/5/2023,6:00:00,10/6/2023,6:00:00,12061,1765,33001,0,0,27004,12345,0,non-estrus,18.44
ARIS group 6,"cow-b
(white-pattern)",10/5/2023,6:00:00,10/6/2023,6:00:00,10221,2345,40533,0,0,31453,1624,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/5/2023,6:00:00,10/6/2023,6:00:00,19757,2719,39947,21,0,23723,9,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/5/2023,12:00:00,10/6/2023,12:00:00,13723,1845,30525,0,0,30540,9189,0,non-estrus,12.44
ARIS group 6,"cow-b
(white-pattern)",10/5/2023,12:00:00,10/6/2023,12:00:00,11031,2516,35504,0,0,35343,1428,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/5/2023,12:00:00,10/6/2023,12:00:00,21004,2779,35096,21,0,26654,268,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/5/2023,18:00:00,10/6/2023,18:00:00,13449,1484,29439,0,0,32878,8970,0,non-estrus,6.44
ARIS group 6,"cow-b
(white-pattern)",10/5/2023,18:00:00,10/6/2023,18:00:00,10911,2293,35631,0,0,35933,1452,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/5/2023,18:00:00,10/6/2023,18:00:00,18652,2241,35926,21,0,29081,299,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/6/2023,0:00:00,10/7/2023,0:00:00,12183,976,33771,0,0,28830,10639,0,non-estrus,0.44
ARIS group 6,"cow-b
(white-pattern)",10/6/2023,0:00:00,10/7/2023,0:00:00,10690,1122,34457,0,0,38076,2054,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/6/2023,0:00:00,10/7/2023,0:00:00,17411,718,34551,0,0,31840,1879,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/6/2023,6:00:00,10/7/2023,6:00:00,12454,612,28913,128,213,33556,10498,0,estrus,-5.56
ARIS group 6,"cow-b
(white-pattern)",10/6/2023,6:00:00,10/7/2023,6:00:00,10408,940,28424,193,679,43771,1959,0,pre-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/6/2023,6:00:00,10/7/2023,6:00:00,18581,929,26044,0,0,38941,1879,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/6/2023,12:00:00,10/7/2023,12:00:00,11641,932,28052,354,220,35824,9110,0,estrus,-11.56
ARIS group 6,"cow-b
(white-pattern)",10/6/2023,12:00:00,10/7/2023,12:00:00,10047,870,25748,211,686,46938,1633,0,pre-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/6/2023,12:00:00,10/7/2023,12:00:00,20420,1351,20707,0,0,42035,1620,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/6/2023,18:00:00,10/7/2023,18:00:00,11622,1534,31803,354,220,33826,6778,0,estrus,-17.56
ARIS group 6,"cow-b
(white-pattern)",10/6/2023,18:00:00,10/7/2023,18:00:00,8352,456,29535,211,686,46213,684,0,pre-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/6/2023,18:00:00,10/7/2023,18:00:00,18760,1699,24875,0,0,39196,1607,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/7/2023,0:00:00,10/8/2023,0:00:00,14743,2329,26062,388,220,37542,5115,0,estrus,-23.56
ARIS group 6,"cow-b
(white-pattern)",10/7/2023,0:00:00,10/8/2023,0:00:00,10400,997,31838,211,686,42185,82,0,pre-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/7/2023,0:00:00,10/8/2023,0:00:00,21423,2570,25040,0,0,37339,27,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/7/2023,6:00:00,10/8/2023,6:00:00,14129,2367,23991,260,7,40633,4701,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/7/2023,6:00:00,10/8/2023,6:00:00,10435,1105,34272,18,7,40169,82,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/7/2023,6:00:00,10/8/2023,6:00:00,20513,2384,32538,0,0,30626,27,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/7/2023,12:00:00,10/8/2023,12:00:00,14000,2087,24911,34,0,40779,3990,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/7/2023,12:00:00,10/8/2023,12:00:00,12756,1082,36078,0,0,35413,472,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/7/2023,12:00:00,10/8/2023,12:00:00,14298,1941,41376,0,0,28115,71,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/7/2023,18:00:00,10/8/2023,18:00:00,13947,1867,23431,34,0,43810,2590,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/7/2023,18:00:00,10/8/2023,18:00:00,13634,749,33549,0,0,36814,933,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/7/2023,18:00:00,10/8/2023,18:00:00,16943,1709,35162,0,0,31711,154,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/8/2023,0:00:00,10/9/2023,0:00:00,14291,1100,17780,0,0,48983,4245,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/8/2023,0:00:00,10/9/2023,0:00:00,16147,368,30659,0,0,38234,991,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/8/2023,0:00:00,10/9/2023,0:00:00,17341,838,32681,0,0,35385,154,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/8/2023,6:00:00,10/9/2023,6:00:00,14249,1427,16684,0,0,49224,4574,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/8/2023,6:00:00,10/9/2023,6:00:00,17158,621,32333,0,0,35055,991,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/8/2023,6:00:00,10/9/2023,6:00:00,17045,449,36573,0,0,31937,154,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/8/2023,12:00:00,10/9/2023,12:00:00,10382,1356,22526,0,0,47246,4715,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/8/2023,12:00:00,10/9/2023,12:00:00,12612,559,38255,0,0,33874,925,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/8/2023,12:00:00,10/9/2023,12:00:00,12692,426,40812,0,0,32185,110,0,non-estrus,No Data
ARIS group 6,"cow-a
(black)",10/8/2023,18:00:00,10/9/2023,18:00:00,10367,1001,16757,159,0,47851,9493,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/8/2023,18:00:00,10/9/2023,18:00:00,11096,831,30715,0,0,42088,898,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/8/2023,18:00:00,10/9/2023,18:00:00,7906,147,38421,1953,84,37040,77,0,pre-estrus,No Data
ARIS group 6,"cow-a
(black)",10/9/2023,0:00:00,10/9/2023,23:59:59,11658,973,24973,159,0,40588,7749,0,non-estrus,No Data
ARIS group 6,"cow-b
(white-pattern)",10/9/2023,0:00:00,10/9/2023,23:59:59,7562,671,40645,0,0,36344,878,0,non-estrus,No Data
ARIS group 6,"cow-c
(black-pattern)",10/9/2023,0:00:00,10/9/2023,23:59:59,7557,181,44735,1970,84,31448,125,0,pre-estrus,No Data
ARIS group 7,"cow-a
(black)",22/1/2024,0:00:00,23/1/2024,0:00:00,28013,1977,31998,0,0,14692,9719,0,non-estrus,24
ARIS group 7,"cow-b
(white-pattern)",22/1/2024,0:00:00,23/1/2024,0:00:00,17274,224,40672,0,0,21439,6790,0,non-estrus,24
ARIS group 7,"cow-c
(black-pattern)",22/1/2024,0:00:00,23/1/2024,0:00:00,29618,250,37863,0,0,14176,4492,0,non-estrus,24
ARIS group 7,"cow-a
(black)",22/1/2024,6:00:00,23/1/2024,6:00:00,28013,1977,22475,0,0,16073,9719,0,non-estrus,24
ARIS group 7,"cow-b
(white-pattern)",22/1/2024,6:00:00,23/1/2024,6:00:00,17274,224,32570,0,0,21399,6790,0,non-estrus,24
ARIS group 7,"cow-c
(black-pattern)",22/1/2024,6:00:00,23/1/2024,6:00:00,31582,250,27132,0,0,14801,4492,0,non-estrus,24
ARIS group 7,"cow-a
(black)",22/1/2024,12:00:00,23/1/2024,12:00:00,29188,1612,30680,0,0,14660,9710,0,non-estrus,24
